year,city,country,city_avg_temp,year,world_avg_temp
1750,New York,United States,10.07,1750,8.72
1751,New York,United States,10.79,1751,7.98
1752,New York,United States,2.81,1752,5.78
1753,New York,United States,9.52,1753,8.39
1754,New York,United States,9.88,1754,8.47
1755,New York,United States,6.61,1755,8.36
1756,New York,United States,9.94,1756,8.85
1757,New York,United States,8.89,1757,9.02
1758,New York,United States,8.15,1758,6.74
1759,New York,United States,9.01,1759,7.99
1760,New York,United States,7.73,1760,7.19
1761,New York,United States,10.18,1761,8.77
1762,New York,United States,9.55,1762,8.61
1763,New York,United States,7.23,1763,7.50
1764,New York,United States,9.55,1764,8.40
1765,New York,United States,8.96,1765,8.25
1766,New York,United States,10.09,1766,8.41
1767,New York,United States,8.52,1767,8.22
1768,New York,United States,8.67,1768,6.78
1769,New York,United States,9.10,1769,7.69
1770,New York,United States,9.04,1770,7.69
1771,New York,United States,10.18,1771,7.85
1772,New York,United States,9.64,1772,8.19
1773,New York,United States,10.08,1773,8.22
1774,New York,United States,9.52,1774,8.77
1775,New York,United States,10.24,1775,9.18
1776,New York,United States,9.13,1776,8.30
1777,New York,United States,8.77,1777,8.26
1778,New York,United States,6.89,1778,8.54
1779,New York,United States,0.25,1779,8.98
1780,New York,United States,,1780,9.43
1781,New York,United States,9.79,1781,8.10
1782,New York,United States,9.15,1782,7.90
1783,New York,United States,8.81,1783,7.68
1784,New York,United States,8.40,1784,7.86
1785,New York,United States,8.49,1785,7.36
1786,New York,United States,8.98,1786,8.26
1787,New York,United States,8.97,1787,8.03
1788,New York,United States,9.77,1788,8.45
1789,New York,United States,9.42,1789,8.33
1790,New York,United States,9.39,1790,7.98
1791,New York,United States,9.37,1791,8.23
1792,New York,United States,8.72,1792,8.09
1793,New York,United States,9.88,1793,8.23
1794,New York,United States,9.83,1794,8.53
1795,New York,United States,9.21,1795,8.35
1796,New York,United States,8.97,1796,8.27
1797,New York,United States,8.85,1797,8.51
1798,New York,United States,9.71,1798,8.67
1799,New York,United States,9.19,1799,8.51
1800,New York,United States,9.58,1800,8.48
1801,New York,United States,10.00,1801,8.59
1802,New York,United States,10.29,1802,8.58
1803,New York,United States,10.07,1803,8.50
1804,New York,United States,9.69,1804,8.84
1805,New York,United States,10.43,1805,8.56
1806,New York,United States,9.38,1806,8.43
1807,New York,United States,9.17,1807,8.28
1808,New York,United States,9.57,1808,7.63
1809,New York,United States,8.87,1809,7.08
1810,New York,United States,9.35,1810,6.92
1811,New York,United States,9.43,1811,6.86
1812,New York,United States,7.80,1812,7.05
1813,New York,United States,8.93,1813,7.74
1814,New York,United States,8.70,1814,7.59
1815,New York,United States,8.27,1815,7.24
1816,New York,United States,7.92,1816,6.94
1817,New York,United States,7.78,1817,6.98
1818,New York,United States,8.13,1818,7.83
1819,New York,United States,9.07,1819,7.37
1820,New York,United States,8.98,1820,7.62
1821,New York,United States,8.53,1821,8.09
1822,New York,United States,9.84,1822,8.19
1823,New York,United States,8.64,1823,7.72
1824,New York,United States,9.29,1824,8.55
1825,New York,United States,10.21,1825,8.39
1826,New York,United States,9.92,1826,8.36
1827,New York,United States,9.26,1827,8.81
1828,New York,United States,10.70,1828,8.17
1829,New York,United States,9.17,1829,7.94
1830,New York,United States,10.32,1830,8.52
1831,New York,United States,9.07,1831,7.64
1832,New York,United States,9.15,1832,7.45
1833,New York,United States,9.15,1833,8.01
1834,New York,United States,9.32,1834,8.15
1835,New York,United States,8.48,1835,7.39
1836,New York,United States,7.51,1836,7.70
1837,New York,United States,8.12,1837,7.38
1838,New York,United States,8.73,1838,7.51
1839,New York,United States,9.17,1839,7.63
1840,New York,United States,9.27,1840,7.80
1841,New York,United States,9.00,1841,7.69
1842,New York,United States,9.41,1842,8.02
1843,New York,United States,8.49,1843,8.17
1844,New York,United States,9.12,1844,7.65
1845,New York,United States,9.49,1845,7.85
1846,New York,United States,9.66,1846,8.55
1847,New York,United States,9.30,1847,8.09
1848,New York,United States,9.54,1848,7.98
1849,New York,United States,8.83,1849,7.98
1850,New York,United States,9.10,1850,7.90
1851,New York,United States,9.26,1851,8.18
1852,New York,United States,8.98,1852,8.10
1853,New York,United States,9.68,1853,8.04
1854,New York,United States,9.56,1854,8.21
1855,New York,United States,9.11,1855,8.11
1856,New York,United States,8.20,1856,8.00
1857,New York,United States,8.52,1857,7.76
1858,New York,United States,9.13,1858,8.10
1859,New York,United States,9.17,1859,8.25
1860,New York,United States,9.18,1860,7.96
1861,New York,United States,9.47,1861,7.85
1862,New York,United States,9.00,1862,7.56
1863,New York,United States,9.09,1863,8.11
1864,New York,United States,9.29,1864,7.98
1865,New York,United States,9.64,1865,8.18
1866,New York,United States,8.95,1866,8.29
1867,New York,United States,8.59,1867,8.44
1868,New York,United States,7.95,1868,8.25
1869,New York,United States,8.85,1869,8.43
1870,New York,United States,10.04,1870,8.20
1871,New York,United States,8.94,1871,8.12
1872,New York,United States,8.61,1872,8.19
1873,New York,United States,8.44,1873,8.35
1874,New York,United States,9.06,1874,8.43
1875,New York,United States,7.74,1875,7.86
1876,New York,United States,9.35,1876,8.08
1877,New York,United States,10.15,1877,8.54
1878,New York,United States,10.38,1878,8.83
1879,New York,United States,9.37,1879,8.17
1880,New York,United States,9.99,1880,8.12
1881,New York,United States,9.77,1881,8.27
1882,New York,United States,9.22,1882,8.13
1883,New York,United States,8.59,1883,7.98
1884,New York,United States,9.36,1884,7.77
1885,New York,United States,8.37,1885,7.92
1886,New York,United States,8.90,1886,7.95
1887,New York,United States,9.10,1887,7.91
1888,New York,United States,8.31,1888,8.09
1889,New York,United States,9.86,1889,8.32
1890,New York,United States,9.62,1890,7.97
1891,New York,United States,10.00,1891,8.02
1892,New York,United States,9.15,1892,8.07
1893,New York,United States,8.68,1893,8.06
1894,New York,United States,9.95,1894,8.16
1895,New York,United States,9.22,1895,8.15
1896,New York,United States,9.51,1896,8.21
1897,New York,United States,9.63,1897,8.29
1898,New York,United States,10.24,1898,8.18
1899,New York,United States,9.51,1899,8.40
1900,New York,United States,10.40,1900,8.50
1901,New York,United States,9.29,1901,8.54
1902,New York,United States,9.43,1902,8.30
1903,New York,United States,9.32,1903,8.22
1904,New York,United States,7.87,1904,8.09
1905,New York,United States,9.10,1905,8.23
1906,New York,United States,9.90,1906,8.38
1907,New York,United States,8.49,1907,7.95
1908,New York,United States,9.87,1908,8.19
1909,New York,United States,9.51,1909,8.18
1910,New York,United States,9.55,1910,8.22
1911,New York,United States,9.91,1911,8.18
1912,New York,United States,9.24,1912,8.17
1913,New York,United States,10.76,1913,8.30
1914,New York,United States,9.02,1914,8.59
1915,New York,United States,9.85,1915,8.59
1916,New York,United States,9.10,1916,8.23
1917,New York,United States,8.24,1917,8.02
1918,New York,United States,9.51,1918,8.13
1919,New York,United States,10.05,1919,8.38
1920,New York,United States,9.19,1920,8.36
1921,New York,United States,10.91,1921,8.57
1922,New York,United States,10.04,1922,8.41
1923,New York,United States,9.51,1923,8.42
1924,New York,United States,8.85,1924,8.51
1925,New York,United States,9.72,1925,8.53
1926,New York,United States,8.54,1926,8.73
1927,New York,United States,9.70,1927,8.52
1928,New York,United States,9.82,1928,8.63
1929,New York,United States,9.97,1929,8.24
1930,New York,United States,10.22,1930,8.63
1931,New York,United States,11.03,1931,8.72
1932,New York,United States,10.44,1932,8.71
1933,New York,United States,10.18,1933,8.34
1934,New York,United States,9.48,1934,8.63
1935,New York,United States,9.48,1935,8.52
1936,New York,United States,9.73,1936,8.55
1937,New York,United States,10.16,1937,8.70
1938,New York,United States,10.42,1938,8.86
1939,New York,United States,10.07,1939,8.76
1940,New York,United States,8.53,1940,8.76
1941,New York,United States,10.19,1941,8.77
1942,New York,United States,9.96,1942,8.73
1943,New York,United States,9.58,1943,8.76
1944,New York,United States,10.01,1944,8.85
1945,New York,United States,9.94,1945,8.58
1946,New York,United States,10.63,1946,8.68
1947,New York,United States,9.91,1947,8.80
1948,New York,United States,9.83,1948,8.75
1949,New York,United States,11.39,1949,8.59
1950,New York,United States,9.72,1950,8.37
1951,New York,United States,10.27,1951,8.63
1952,New York,United States,10.52,1952,8.64
1953,New York,United States,11.17,1953,8.87
1954,New York,United States,10.31,1954,8.56
1955,New York,United States,10.39,1955,8.63
1956,New York,United States,9.75,1956,8.28
1957,New York,United States,10.50,1957,8.73
1958,New York,United States,9.16,1958,8.77
1959,New York,United States,10.77,1959,8.73
1960,New York,United States,9.76,1960,8.58
1961,New York,United States,10.03,1961,8.80
1962,New York,United States,9.32,1962,8.75
1963,New York,United States,9.32,1963,8.86
1964,New York,United States,9.96,1964,8.41
1965,New York,United States,9.63,1965,8.53
1966,New York,United States,9.75,1966,8.60
1967,New York,United States,9.30,1967,8.70
1968,New York,United States,9.75,1968,8.52
1969,New York,United States,9.76,1969,8.60
1970,New York,United States,9.77,1970,8.70
1971,New York,United States,10.01,1971,8.60
1972,New York,United States,9.49,1972,8.50
1973,New York,United States,10.96,1973,8.95
1974,New York,United States,10.08,1974,8.47
1975,New York,United States,10.56,1975,8.74
1976,New York,United States,9.53,1976,8.35
1977,New York,United States,9.96,1977,8.85
1978,New York,United States,9.17,1978,8.69
1979,New York,United States,10.02,1979,8.73
1980,New York,United States,9.86,1980,8.98
1981,New York,United States,9.95,1981,9.17
1982,New York,United States,9.78,1982,8.64
1983,New York,United States,10.51,1983,9.03
1984,New York,United States,10.26,1984,8.69
1985,New York,United States,10.26,1985,8.66
1986,New York,United States,10.15,1986,8.83
1987,New York,United States,10.32,1987,8.99
1988,New York,United States,9.93,1988,9.20
1989,New York,United States,9.66,1989,8.92
1990,New York,United States,11.32,1990,9.23
1991,New York,United States,11.36,1991,9.18
1992,New York,United States,9.57,1992,8.84
1993,New York,United States,10.04,1993,8.87
1994,New York,United States,10.00,1994,9.04
1995,New York,United States,10.24,1995,9.35
1996,New York,United States,9.81,1996,9.04
1997,New York,United States,10.00,1997,9.20
1998,New York,United States,11.82,1998,9.52
1999,New York,United States,11.16,1999,9.29
2000,New York,United States,9.97,2000,9.20
2001,New York,United States,10.93,2001,9.41
2002,New York,United States,11.25,2002,9.57
2003,New York,United States,9.84,2003,9.53
2004,New York,United States,10.39,2004,9.32
2005,New York,United States,10.68,2005,9.70
2006,New York,United States,11.52,2006,9.53
2007,New York,United States,10.63,2007,9.73
2008,New York,United States,10.64,2008,9.43
2009,New York,United States,10.14,2009,9.51
2010,New York,United States,11.36,2010,9.70
2011,New York,United States,11.27,2011,9.52
2012,New York,United States,11.97,2012,9.51
2013,New York,United States,12.16,2013,9.61
